file_name,text
apple/apple_rust_mild/9360a196-fc3f-495e-ab9b-1803bcd87921___FREC_C.Rust 3818.JPG,a photo of rust leaf
apple/apple_rust_mild/9d03ec86-ab87-4193-8589-9cfeada9fe70___FREC_C.Rust 4442.JPG,a photo of rust leaf
apple/apple_rust_mild/8fd46690-5e57-47f6-8d99-235d4738411f___FREC_C.Rust 0074.JPG,a photo of rust leaf
apple/apple_rust_mild/d46c67aa-e05c-48f7-9287-fbc727396c9e___FREC_C.Rust 4036.JPG,a photo of rust leaf
apple/apple_rust_mild/e21f859e-9fee-43ee-a1ca-722c55885ad2___FREC_C.Rust 3852.JPG,a photo of rust leaf
apple/apple_rust_mild/fc477749-2fe6-48a5-9393-5eedeb7cedc3___FREC_C.Rust 3826.JPG,a photo of rust leaf
apple/apple_rust_mild/5c2677da-56e7-47bc-bc21-31a1db9ff5bf___FREC_C.Rust 9799.JPG,a photo of rust leaf
apple/apple_rust_mild/d7fb4740-9707-484f-9809-b7efa8f7851d___FREC_C.Rust 4344.JPG,a photo of rust leaf
apple/apple_rust_mild/3e123b1b-a57d-4689-8211-e270c19fd4a9___FREC_C.Rust 9962.JPG,a photo of rust leaf
apple/apple_rust_mild/d79cfdd6-fa8a-4a96-aa90-3c347bb9c800___FREC_C.Rust 4125.JPG,a photo of rust leaf
apple/apple_rust_mild/fcf12448-e50c-45a6-a70c-ea8a60ebb6ac___FREC_C.Rust 0204.JPG,a photo of rust leaf
apple/apple_rust_mild/87ea6ae6-eaf6-468d-85cd-cded92ba526f___FREC_C.Rust 9963.JPG,a photo of rust leaf
apple/apple_scab_mild/0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG,a photo of scab leaf
apple/apple_scab_mild/6e8ed8d7-45e0-446a-aad1-d7ccf4a861fe___FREC_Scab 3068.JPG,a photo of scab leaf
apple/apple_scab_mild/4442b558-4db4-4de3-82c3-7524b59bb315___FREC_Scab 2961.JPG,a photo of scab leaf
apple/apple_scab_mild/84ba6fe9-427e-415b-8bfe-a1f8670e1537___FREC_Scab 3530.JPG,a photo of scab leaf
apple/apple_scab_mild/7e2bacbd-f92b-417e-879f-002f3862718c___FREC_Scab 3374.JPG,a photo of scab leaf
apple/apple_scab_mild/d72cdbbd-7982-4198-8bf7-a053ed69bba1___FREC_Scab 3529.JPG,a photo of scab leaf
apple/apple_scab_mild/2dd8b8f8-46b0-4bc6-b817-ea7163f4b28b___FREC_Scab 3473.JPG,a photo of scab leaf
apple/apple_scab_mild/d08d117d-d394-4e24-83c2-cd7fd96894ce___FREC_Scab 3093.JPG,a photo of scab leaf
apple/apple_scab_mild/afab688d-242c-4e62-abef-ba277df5a76d___FREC_Scab 3188.JPG,a photo of scab leaf
apple/apple_scab_mild/258ce9eb-2b67-475b-b09c-0bc83b0987f1___FREC_Scab 3033.JPG,a photo of scab leaf
apple/apple_scab_mild/29ab8216-ec38-4efd-9c77-21068fa899a4___FREC_Scab 3241.JPG,a photo of scab leaf
apple/apple_scab_mild/b0744c40-7396-4efb-9d0e-d7b1f22a9dd4___FREC_Scab 3407.JPG,a photo of scab leaf
apple/apple_scab_mild/09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG,a photo of scab leaf
apple/apple_scab_mild/e0291fa3-bb60-4c05-85da-28a10a1562e9___FREC_Scab 3214.JPG,a photo of scab leaf
apple/apple_scab_mild/0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG,a photo of scab leaf
apple/apple_scab_mild/4555c009-6c33-4913-accc-fd1a8355646b___FREC_Scab 2929.JPG,a photo of scab leaf
apple/apple_scab_mild/b0613c0d-0e9d-4e47-9743-57f5da39a092___FREC_Scab 3311.JPG,a photo of scab leaf
apple/apple_scab_mild/80894f41-f887-4d0c-8b09-0a7cd24fbe18___FREC_Scab 3526.JPG,a photo of scab leaf
apple/apple_scab_mild/f887b059-f797-442d-b2b6-a9cab0f76f43___FREC_Scab 3169.JPG,a photo of scab leaf
apple/apple_scab_mild/ce7338f4-ed12-4014-8d2f-4b674b672357___FREC_Scab 3532.JPG,a photo of scab leaf
apple/apple_black_rot_mild/ee5b8f3c-3afe-45d9-b0ad-8aefc9dc914b___JR_FrgE.S 2987.JPG,a photo of rot leaf
apple/apple_black_rot_mild/7add2e39-6555-4d52-ad02-b1bb061db8e7___JR_FrgE.S 3039.JPG,a photo of rot leaf
apple/apple_black_rot_mild/4747a926-7eee-49a1-b28b-a8cc8a555fa7___JR_FrgE.S 2952.JPG,a photo of rot leaf
apple/apple_black_rot_mild/2902e85c-1705-423b-bb02-80e2d93bc54e___JR_FrgE.S 2922.JPG,a photo of rot leaf
apple/apple_black_rot_mild/bf5fa34e-8d39-43e2-8b54-ba83366871b1___JR_FrgE.S 3095.JPG,a photo of rot leaf
apple/apple_black_rot_mild/b1fb1490-dd67-4f69-97a4-a770ab7c8301___JR_FrgE.S 8587.JPG,a photo of rot leaf
apple/apple_black_rot_mild/076d95c0-1ca7-4ee8-9558-0f18e617813d___JR_FrgE.S 2737.JPG,a photo of rot leaf
apple/apple_black_rot_mild/59bc1959-6712-4eeb-a58d-ab564851a8f5___JR_FrgE.S 8731.JPG,a photo of rot leaf
apple/apple_black_rot_mild/3ee8f19d-38a4-4e9d-adc1-c8ab5e95ba60___JR_FrgE.S 2839.JPG,a photo of rot leaf
apple/apple_black_rot_mild/50afe8c7-d56e-4dd0-97b8-23a70ddca819___JR_FrgE.S 2750.JPG,a photo of rot leaf
apple/apple_black_rot_mild/6383ae21-b6d0-4b70-bc85-ba2640aa7af2___JR_FrgE.S 8754.JPG,a photo of rot leaf
apple/apple_black_rot_mild/26ecaea0-d85f-449b-bd3e-16d85cc49eac___JR_FrgE.S 8674.JPG,a photo of rot leaf
apple/apple_black_rot_mild/f14af5e9-087d-4040-9eb2-c2672d513e36___JR_FrgE.S 2972.JPG,a photo of rot leaf
apple/apple_black_rot_mild/4db50338-6897-4d69-8147-717cae13879c___JR_FrgE.S 8645.JPG,a photo of rot leaf
apple/apple_black_rot_mild/255dd1a9-d4cf-4b38-9872-8f8bc6746703___JR_FrgE.S 3040.JPG,a photo of rot leaf
apple/apple_black_rot_mild/23641520-3fbf-42e9-ba5f-c689bc74ce8c___JR_FrgE.S 8620.JPG,a photo of rot leaf
apple/apple_black_rot_mild/f1844803-f6fb-4cfb-851e-b9095fb40c9e___JR_FrgE.S 2898.JPG,a photo of rot leaf
apple/apple_black_rot_mild/464511a6-77d9-493f-bb3c-f151fb390f1b___JR_FrgE.S 8790.JPG,a photo of rot leaf
apple/apple_black_rot_mild/42277cf4-c76e-4c00-b42f-6254f2cb8496___JR_FrgE.S 2771.JPG,a photo of rot leaf
apple/apple_black_rot_mild/ded93fa6-0c14-47ea-aa92-806a64db7816___JR_FrgE.S 2795.JPG,a photo of rot leaf
