file_name,text
grape/grape_black_measles_mild/ab53a148-3a2c-4f4f-94df-e484d7daa29c___FAM_B.Msls 1847.JPG,a photo of measles leaf
grape/grape_black_measles_mild/ed75f14d-3529-47f4-bacf-0afbe2542c55___FAM_B.Msls 4319.JPG,a photo of measles leaf
grape/grape_black_measles_mild/375d0a8d-4722-41c2-afd1-1ae96eff47b1___FAM_B.Msls 1360.JPG,a photo of measles leaf
grape/grape_black_measles_mild/30cf68e1-9bef-4452-8a2c-222b9870c610___FAM_B.Msls 1031.JPG,a photo of measles leaf
grape/grape_black_measles_mild/4960660d-51cc-4a8d-947a-1454a6e0a383___FAM_B.Msls 1171.JPG,a photo of measles leaf
grape/grape_black_measles_mild/0336e894-5963-4a7e-9b56-e802473ae4c5___FAM_B.Msls 1231.JPG,a photo of measles leaf
grape/grape_black_measles_mild/1e9bde19-59d6-4aa3-988f-dd0478eb53cc___FAM_B.Msls 3864.JPG,a photo of measles leaf
grape/grape_black_measles_mild/587ec2ee-443c-4f79-b6bd-9c8b62a8cbe4___FAM_B.Msls 3977.JPG,a photo of measles leaf
grape/grape_black_measles_mild/cf3c56b8-6201-4a12-84bf-27a10c119585___FAM_B.Msls 4147.JPG,a photo of measles leaf
grape/grape_black_measles_mild/6de1674f-2bea-4388-9a5c-d40ff2fa44fc___FAM_B.Msls 1879.JPG,a photo of measles leaf
grape/grape_black_measles_mild/ed99773d-d7ad-4d6d-a114-5311a02d0fda___FAM_B.Msls 1875.JPG,a photo of measles leaf
grape/grape_black_measles_mild/f05eb083-7d59-40e6-9426-f06d428e81ab___FAM_B.Msls 1832.JPG,a photo of measles leaf
grape/grape_black_measles_mild/8c3515a7-2962-41f4-80e0-f9b399054f9c___FAM_B.Msls 1346.JPG,a photo of measles leaf
grape/grape_black_measles_mild/81a1b9ac-4e0e-4bd0-aa3a-ffa4448e34ff___FAM_B.Msls 1828.JPG,a photo of measles leaf
grape/grape_black_measles_mild/ec1fde6f-2db4-45dc-a2ca-0ebfa891b991___FAM_B.Msls 0918.JPG,a photo of measles leaf
grape/grape_black_measles_mild/17ce99cb-94ce-4179-92e3-fc4078f6c049___FAM_B.Msls 4151.JPG,a photo of measles leaf
grape/grape_black_measles_mild/b8818e9a-b495-4868-8add-131344d1d2b2___FAM_B.Msls 1049.JPG,a photo of measles leaf
grape/grape_black_measles_mild/1351fdd4-210d-4767-aa56-442096556fa9___FAM_B.Msls 1255.JPG,a photo of measles leaf
grape/grape_black_measles_mild/bed79e41-7214-47eb-8f98-5b2b5f5555c7___FAM_B.Msls 1038.JPG,a photo of measles leaf
grape/grape_leaf_blight_mild/d181f3bf-3641-42be-b35f-7d739559d8cb___FAM_L.Blight 4796.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/6b9b8227-f7d6-4991-9eda-3f832df12de1___FAM_L.Blight 4611.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/939b5729-e979-4769-8cab-58887c2476f3___FAM_L.Blight 4597.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/a42b48cb-f43b-4ad4-ace4-e7e20f1ecd03___FAM_L.Blight 4786.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/afa1aa52-eed2-47a3-9935-ee74531d376d___FAM_L.Blight 4572.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/2881e0c4-687c-4e8d-be53-0c1187723aa2___FAM_L.Blight 4915.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/713eabd7-3a12-4c99-9852-6468aaec325b___FAM_L.Blight 4603.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/5bd0e244-f305-4348-a7c0-af603bc12c9f___FAM_L.Blight 4797.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/24dd13d4-ea7c-4abd-a41f-b99baadaf77c___FAM_L.Blight 1627.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/dd675f69-4e2b-4d36-9aac-d0e3463cbc74___FAM_L.Blight 4736.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/138f13b2-4637-4d82-9a09-86ac8a28f600___FAM_L.Blight 1406.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/2df637e5-fdb9-4fce-95fd-484a59752c55___FAM_L.Blight 3751.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/57f00e7e-b32a-47a6-85e5-b27d1655f252___FAM_L.Blight 4668.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/5f23077a-5f9a-440c-89be-662b5011d0f7___FAM_L.Blight 1626.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/38807a6c-d78b-44b0-9b38-f03014ded1ab___FAM_L.Blight 4677.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/59594a9d-e69a-48e1-b4ab-d54bb8226f22___FAM_L.Blight 4714.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/4378430b-d4ac-4302-8ceb-24ac43116e8d___FAM_L.Blight 1409.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/d897f422-eeb3-414e-8c54-dd05ec8779e2___FAM_L.Blight 4578.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/48f4f71b-951f-4fbf-b693-0791b55d9a76___FAM_L.Blight 1453.JPG,a photo of blight leaf
grape/grape_leaf_blight_mild/b880ef50-7576-4bdd-bfd5-8e10194efd47___FAM_L.Blight 4764.JPG,a photo of blight leaf
